Trip_ID,Pickup_Area,Drop_Area,Distance_km,Trip_Duration_min,Time_of_Day,Day_of_Week,Traffic_Level,Weather,Peak_Hour,Passenger_Count,Cab_Type,Payment_Mode,Driver_Rating,Fare_INR
TRIP00001,Jewel Chowk,Rehari,25.94,54,Morning,Wednesday,Medium,Sunny,Yes,1,Sedan,Card,4.1,545.2
TRIP00002,Railway Station,Sainik Colony,2.03,5,Morning,Saturday,Medium,Sunny,Yes,1,Mini,UPI,4.5,190.11
TRIP00003,University,Trikuta Nagar,14.13,32,Morning,Monday,Medium,Sunny,Yes,4,Mini,Card,3.7,359.57
TRIP00004,University,Sainik Colony,25.12,41,Night,Friday,Low,Cloudy,No,1,Sedan,UPI,4.8,501.94
TRIP00005,Bakshi Nagar,Roop Nagar,7.34,25,Afternoon,Saturday,High,Cloudy,No,2,Sedan,Card,4.6,294.13
TRIP00006,Talab Tillo,Patoli,25.96,93,Evening,Saturday,High,Sunny,Yes,3,Sedan,Cash,3.9,623.8
TRIP00007,Bantalab,University,26.56,42,Afternoon,Saturday,Low,Sunny,No,3,Sedan,Card,4.4,533.88
TRIP00008,University,Roop Nagar,6.39,16,Afternoon,Sunday,Medium,Cloudy,Yes,4,Sedan,Card,3.6,312.37
TRIP00009,Bakshi Nagar,Roop Nagar,34.57,111,Morning,Saturday,High,Cloudy,Yes,3,Sedan,UPI,3.9,783.78
TRIP00010,Bakshi Nagar,Bantalab,29.07,104,Night,Sunday,High,Rainy,No,2,Mini,UPI,4.1,612.58
TRIP00011,Bantalab,Trikuta Nagar,36.82,119,Evening,Thursday,High,Rainy,Yes,3,Sedan,UPI,3.6,822.7
TRIP00012,Talab Tillo,Railway Station,3.7,13,Evening,Sunday,High,Rainy,Yes,4,Mini,UPI,4.9,319.25
TRIP00013,Trikuta Nagar,Gandhi Nagar,15.56,32,Night,Thursday,Medium,Sunny,Yes,2,Sedan,Card,3.8,433.12
TRIP00014,Narwal,Talab Tillo,34.53,112,Morning,Tuesday,High,Sunny,Yes,4,Sedan,UPI,4.7,763.25
TRIP00015,Rehari,Sainik Colony,14.82,30,Afternoon,Sunday,Medium,Foggy,No,4,Mini,Card,4.0,354.75
TRIP00016,Kunjwani,Jewel Chowk,6.47,29,Morning,Thursday,High,Sunny,Yes,1,SUV,UPI,4.5,312.19
TRIP00017,Satwari,Bahu Plaza,34.1,114,Morning,Thursday,High,Rainy,Yes,1,Mini,Cash,3.9,667.02
TRIP00018,Gandhi Nagar,Patoli,39.82,87,Evening,Saturday,Medium,Sunny,Yes,1,Mini,Card,4.0,680.24
TRIP00019,Bantalab,Channi Himmat,21.71,49,Morning,Friday,Medium,Sunny,Yes,2,Sedan,Cash,3.7,475.55
TRIP00020,Bahu Plaza,Roop Nagar,4.2,13,Evening,Friday,High,Sunny,Yes,2,Sedan,Cash,4.1,256.76
TRIP00021,Bus Stand,Bahu Plaza,3.83,5,Afternoon,Friday,Low,Sunny,No,3,Mini,UPI,4.8,133.8
TRIP00022,Rehari,Bantalab,28.44,42,Evening,Sunday,Low,Rainy,Yes,1,Mini,UPI,3.9,523.17
TRIP00023,Sainik Colony,Gandhi Nagar,9.21,10,Afternoon,Saturday,Low,Sunny,No,1,SUV,UPI,4.5,262.33
TRIP00024,Bus Stand,Patoli,25.85,88,Morning,Saturday,High,Sunny,Yes,2,Mini,Card,3.6,535.94
TRIP00025,Narwal,Janipur,2.63,11,Afternoon,Sunday,Low,Sunny,No,1,Sedan,Cash,4.7,104.18
TRIP00026,Channi Himmat,Bahu Plaza,7.34,9,Evening,Tuesday,Low,Cloudy,No,4,Mini,Card,4.8,197.46
TRIP00027,Talab Tillo,Narwal,15.92,53,Morning,Thursday,High,Sunny,Yes,2,Mini,UPI,3.5,399.89
TRIP00028,Sainik Colony,Bakshi Nagar,38.71,132,Morning,Saturday,High,Rainy,Yes,1,Mini,UPI,4.8,747.74
TRIP00029,Gandhi Nagar,Satwari,2.49,5,Evening,Wednesday,Medium,Cloudy,Yes,4,Mini,Card,3.8,221.14
TRIP00030,Rehari,Railway Station,22.0,49,Evening,Saturday,Medium,Sunny,Yes,3,SUV,Card,4.0,619.01
TRIP00031,University,Bantalab,13.72,35,Evening,Friday,Medium,Rainy,Yes,2,Sedan,Card,4.4,395.64
TRIP00032,Trikuta Nagar,Railway Station,9.2,32,Evening,Friday,High,Sunny,Yes,4,Mini,Card,3.8,329.59
TRIP00033,Patoli,Trikuta Nagar,14.07,31,Evening,Sunday,Medium,Rainy,Yes,1,Mini,UPI,5.0,384.49
TRIP00034,Muthi,Satwari,23.45,46,Evening,Thursday,Medium,Cloudy,Yes,1,Mini,Cash,3.8,437.33
TRIP00035,Muthi,Narwal,34.09,59,Afternoon,Sunday,Low,Sunny,No,4,Mini,Card,4.7,550.61
TRIP00036,Satwari,Trikuta Nagar,35.99,124,Evening,Thursday,High,Rainy,Yes,4,Mini,Card,3.9,705.9
TRIP00037,Kunjwani,Satwari,14.1,31,Night,Monday,Medium,Cloudy,Yes,1,Sedan,Cash,4.1,386.81
TRIP00038,Bahu Plaza,Narwal,17.39,33,Night,Friday,Low,Rainy,No,4,Sedan,UPI,4.9,447.84
TRIP00039,University,Bakshi Nagar,17.34,43,Evening,Friday,Medium,Sunny,No,4,Mini,UPI,4.1,354.01
TRIP00040,University,Railway Station,39.25,129,Evening,Thursday,High,Sunny,Yes,4,Mini,UPI,3.6,711.06
TRIP00041,Trikuta Nagar,Gandhi Nagar,30.69,53,Afternoon,Sunday,Low,Rainy,No,1,Mini,Cash,3.8,522.46
TRIP00042,Bus Stand,Bakshi Nagar,8.78,32,Morning,Tuesday,High,Sunny,Yes,4,SUV,Card,3.9,395.51
